Options(calls=         contractSymbol       lastTradeDate  strike  lastPrice     bid     ask    change  percentChange   volume  openInterest  impliedVolatility  inTheMoney contractSize currency
0   MSFT210430C00130000 2021-04-26 13:59:59   130.0     131.25  130.00  134.40  0.000000       0.000000      1.0             1           2.957034        True      REGULAR      USD
1   MSFT210430C00140000 2021-04-19 18:11:08   140.0     120.95  119.90  124.40  2.399994       2.024457      8.0             1           2.585941        True      REGULAR      USD
2   MSFT210430C00145000 2021-03-31 16:30:41   145.0      91.70  114.90  119.40  0.000000       0.000000      NaN             2           2.453129        True      REGULAR      USD
3   MSFT210430C00150000 2021-04-19 17:51:08   150.0     108.75  110.05  114.40  0.000000       0.000000      8.0            16           2.435551        True      REGULAR      USD
4   MSFT210430C00160000 2021-04-21 19:47:14   160.0     100.33   99.90  104.20  0.000000       0.000000     13.0            15           1.882813        True      REGULAR      USD
5   MSFT210430C00165000 2021-04-27 14:55:03   165.0      95.45   94.60   99.40 -0.550003      -0.572920      1.0             1           1.593752        True      REGULAR      USD
6   MSFT210430C00170000 2021-04-27 14:55:03   170.0      90.65   89.80   94.40 -0.449997      -0.493959      2.0            11           1.769532        True      REGULAR      USD
7   MSFT210430C00175000 2021-04-27 14:55:03   175.0      85.85   84.90   89.20 -0.099998      -0.116345      1.0             8           1.566408        True      REGULAR      USD
8   MSFT210430C00180000 2021-04-23 13:30:08   180.0      80.75   79.90   84.40  2.550003       3.260874     10.0            30           1.628908        True      REGULAR      USD
9   MSFT210430C00185000 2021-04-22 18:38:36   185.0      71.94   75.00   79.30  0.000000       0.000000      2.0             5           1.523440        True      REGULAR      USD
10  MSFT210430C00190000 2021-04-26 16:23:57   190.0      71.29   70.00   74.40  0.000000       0.000000     13.0            83           1.470706        True      REGULAR      USD
11  MSFT210430C00195000 2021-04-26 13:35:04   195.0      66.20   65.00   69.20  0.000000       0.000000      1.0            17           1.259769        True      REGULAR      USD
12  MSFT210430C00200000 2021-04-26 16:28:49   200.0      60.78   61.50   63.25 -0.420002      -0.686278     10.0           357           1.384769        True      REGULAR      USD
13  MSFT210430C00205000 2021-04-27 18:42:07   205.0      57.48   54.90   59.10  4.250000       7.984220      1.0            29           0.894532        True      REGULAR      USD
14  MSFT210430C00207500 2021-04-20 19:09:35   207.5      50.45   52.40   56.90  0.000000       0.000000     31.0            46           1.072270        True      REGULAR      USD
15  MSFT210430C00210000 2021-04-27 15:57:38   210.0      51.13   51.50   53.75 -0.879997      -1.691977    201.0           245           1.283207        True      REGULAR      USD
16  MSFT210430C00212500 2021-04-20 17:50:26   212.5      45.73   47.40   51.90  0.000000       0.000000     20.0            43           0.976563        True      REGULAR      USD
17  MSFT210430C00215000 2021-04-27 15:35:17   215.0      45.95   45.00   49.40 -1.049999      -2.234041      2.0            25           0.965821        True      REGULAR      USD
18  MSFT210430C00217500 2021-04-19 13:34:37   217.5      43.10   42.40   46.70  0.000000       0.000000      1.0            33           0.785158        True      REGULAR      USD
19  MSFT210430C00220000 2021-04-27 18:31:24   220.0      42.58   41.50   42.95  1.080002       2.602414     23.0           126           0.884767        True      REGULAR      USD
20  MSFT210430C00222500 2021-04-27 19:40:15   222.5      40.25   37.40   41.80  1.250000       3.205128      1.0             9           0.750003        True      REGULAR      USD
21  MSFT210430C00225000 2021-04-26 15:06:43   225.0      36.34   36.55   38.15  0.000000       0.000000     11.0           368           0.847658        True      REGULAR      USD
22  MSFT210430C00227500 2021-04-27 18:27:20   227.5      34.08   34.05   35.15  0.630001       1.883411     51.0            77           0.662113        True      REGULAR      USD
23  MSFT210430C00230000 2021-04-27 19:44:59   230.0      33.00   31.75   33.30  1.030001       3.221773     66.0           486           0.807619        True      REGULAR      USD
24  MSFT210430C00232500 2021-04-27 19:40:53   232.5      30.22   29.20   30.70  0.820000       2.789115     51.0           300           0.730471        True      REGULAR      USD
25  MSFT210430C00235000 2021-04-27 19:00:54   235.0      27.41   26.50   27.70  0.289999       1.069318     21.0           643           0.529302        True      REGULAR      USD
26  MSFT210430C00237500 2021-04-27 18:00:34   237.5      24.06   24.15   25.95 -0.010000      -0.041546      6.0          1167           0.653324        True      REGULAR      USD
27  MSFT210430C00240000 2021-04-27 19:52:12   240.0      22.44   20.25   23.40  0.940001       4.372096    257.0          2480           0.770998        True      REGULAR      USD
28  MSFT210430C00242500 2021-04-27 17:57:32   242.5      20.57   18.55   20.40  0.789999       3.993928     60.0           774           0.618656        True      REGULAR      USD
29  MSFT210430C00245000 2021-04-27 19:55:21   245.0      18.00   15.90   18.00  1.200001       7.142862    135.0          2188           0.576664        True      REGULAR      USD
30  MSFT210430C00247500 2021-04-27 19:59:53   247.5      15.08   13.10   15.70  0.590000       4.071775    205.0          2318           0.546635        True      REGULAR      USD
31  MSFT210430C00250000 2021-04-27 19:59:40   250.0      13.32   12.30   13.45  1.200000       9.900989   1647.0          6824           0.516362        True      REGULAR      USD
32  MSFT210430C00252500 2021-04-27 19:59:49   252.5      10.75    9.10   11.35  0.350000       3.365388    426.0          1381           0.496099        True      REGULAR      USD
33  MSFT210430C00255000 2021-04-27 19:59:14   255.0       8.85    7.85    9.35  0.350000       4.117652   1541.0          3847           0.475103        True      REGULAR      USD
34  MSFT210430C00257500 2021-04-27 19:59:41   257.5       6.92    6.65    7.30  0.130000       1.914582   1145.0          4583           0.436285        True      REGULAR      USD
35  MSFT210430C00260000 2021-04-27 19:59:57   260.0       5.31    5.05    5.55  0.110000       2.115387  11365.0          9135           0.412604        True      REGULAR      USD
36  MSFT210430C00262500 2021-04-27 19:59:57   262.5       3.85    3.80    4.20 -0.090000      -2.284268  15134.0          6745           0.407232       False      REGULAR      USD
37  MSFT210430C00265000 2021-04-27 19:59:57   265.0       2.89    2.80    3.05  0.090000       3.214291  15219.0          8198           0.399908       False      REGULAR      USD
38  MSFT210430C00267500 2021-04-27 19:59:58   267.5       1.93    1.93    2.14  0.120000       6.629835   6587.0          3306           0.394293       False      REGULAR      USD
39  MSFT210430C00270000 2021-04-27 19:59:57   270.0       1.34    1.25    1.39  0.130000      10.743800  15574.0         10211           0.382819       False      REGULAR      USD
40  MSFT210430C00272500 2021-04-27 19:59:57   272.5       0.87    0.79    0.90  0.130000      17.567566   4544.0          6237           0.379889       False      REGULAR      USD
41  MSFT210430C00275000 2021-04-27 19:59:57   275.0       0.55    0.50    0.57  0.100000      22.222229  12531.0          8863           0.379157       False      REGULAR      USD
42  MSFT210430C00277500 2021-04-27 19:59:49   277.5       0.37    0.33    0.37  0.090000      32.142860   3008.0          1509           0.384284       False      REGULAR      USD
43  MSFT210430C00280000 2021-04-27 19:59:57   280.0       0.25    0.20    0.27  0.070000      38.888885   9608.0          6724           0.399908       False      REGULAR      USD
44  MSFT210430C00282500 2021-04-27 19:59:58   282.5       0.19    0.18    0.22  0.060000      46.153850    986.0           960           0.423834       False      REGULAR      USD
45  MSFT210430C00285000 2021-04-27 19:59:43   285.0       0.14    0.13    0.14  0.050000      55.555553   3874.0          1530           0.426764       False      REGULAR      USD
46  MSFT210430C00290000 2021-04-27 19:59:30   290.0       0.09    0.04    0.12  0.040000      80.000010   2103.0          1958           0.486333       False      REGULAR      USD
47  MSFT210430C00295000 2021-04-27 19:58:58   295.0       0.06    0.06    0.08 -0.010000     -14.285716    630.0          1160           0.511724       False      REGULAR      USD
48  MSFT210430C00300000 2021-04-27 19:59:44   300.0       0.04    0.04    0.05  0.000000       0.000000   2417.0          2074           0.542973       False      REGULAR      USD
49  MSFT210430C00305000 2021-04-27 19:56:37   305.0       0.04    0.01    0.04  0.000000       0.000000    256.0           852           0.562504       False      REGULAR      USD
50  MSFT210430C00310000 2021-04-27 19:54:01   310.0       0.02    0.01    0.02 -0.010000     -33.333336    468.0           743           0.585942       False      REGULAR      USD
51  MSFT210430C00315000 2021-04-27 18:58:28   315.0       0.01    0.01    0.02 -0.020000     -66.666670      2.0           577           0.632816       False      REGULAR      USD
